customer_id,signup_date,region,acquisition_channel
1,2026-03-06,Centro,Pagado
2,2025-11-21,Centro,Pagado
3,2026-03-08,Centro,Organico
4,2026-01-23,Centro,Organico
5,2025-08-10,Sur,Pagado
6,2025-08-06,Sur,Pagado
7,2025-12-04,Centro,Pagado
8,2026-03-23,Centro,Organico
9,2025-12-21,Sur,Pagado
10,2025-12-25,Centro,Pagado
11,2025-10-23,Norte,Organico
12,2026-01-06,Norte,Referido
13,2025-08-17,Centro,Organico
14,2026-01-08,Centro,Organico
15,2025-10-14,Norte,Pagado
16,2025-08-08,Norte,Organico
17,2025-08-26,Norte,Pagado
18,2025-08-20,Centro,Organico
19,2026-02-24,Sur,Referido
20,2025-11-11,Centro,Organico
21,2026-03-22,Sur,Organico
22,2026-02-02,Centro,Organico
23,2025-08-20,Centro,Organico
24,2026-03-25,Centro,Organico
25,2026-03-28,Centro,Pagado
26,2025-09-02,Norte,Pagado
27,2025-12-08,Norte,Referido
28,2026-02-03,Sur,Organico
29,2025-11-30,Norte,Pagado
30,2026-03-17,Sur,Pagado
31,2026-02-02,Norte,Organico
32,2026-01-23,Centro,Pagado
33,2025-08-12,Sur,Pagado
34,2026-02-02,Centro,Organico
35,2025-10-30,Norte,Pagado
36,2025-08-08,Norte,Organico
37,2025-09-19,Centro,Organico
38,2025-10-21,Norte,Organico
39,2026-02-28,Centro,Pagado
40,2025-08-03,Sur,Organico
41,2025-11-09,Sur,Organico
42,2025-08-03,Sur,Organico
43,2026-02-07,Centro,Pagado
44,2025-08-20,Centro,Organico
45,2026-02-22,Norte,Pagado
46,2025-12-28,Norte,Pagado
47,2026-03-03,Sur,Pagado
48,2025-10-01,Centro,Referido
49,2025-09-20,Centro,Pagado
50,2025-11-16,Norte,Pagado
51,2025-08-13,Centro,Pagado
52,2025-08-23,Centro,Pagado
53,2026-03-17,Sur,Organico
54,2025-08-21,Centro,Organico
55,2025-09-10,Norte,Organico
56,2025-09-29,Centro,Referido
57,2025-12-09,Centro,Pagado
58,2025-09-20,Centro,Organico
59,2025-11-07,Centro,Organico
60,2025-09-02,Centro,Pagado
61,2026-02-17,Centro,Referido
62,2025-08-18,Centro,Referido
63,2025-10-12,Sur,Pagado
64,2025-09-27,Norte,Pagado
65,2026-03-08,Centro,Organico
66,2025-11-13,Sur,Organico
67,2025-08-28,Norte,Pagado
68,2026-01-06,Sur,Organico
69,2025-09-19,Centro,Pagado
70,2025-12-26,Norte,Organico
71,2025-11-25,Centro,Pagado
72,2025-11-14,Norte,Referido
73,2025-09-30,Centro,Pagado
74,2025-08-13,Centro,Organico
75,2025-08-11,Centro,Pagado
76,2026-02-22,Sur,Referido
77,2025-12-17,Centro,Pagado
78,2026-03-08,Centro,Organico
79,2026-03-10,Sur,Referido
80,2026-03-06,Norte,Referido
81,2025-10-18,Centro,Referido
82,2026-01-18,Sur,Organico
83,2026-01-14,Sur,Referido
84,2025-12-02,Norte,Referido
85,2025-12-21,Norte,Pagado
86,2025-12-03,Norte,Organico
87,2026-03-05,Norte,Organico
88,2026-03-25,Sur,Referido
89,2025-12-27,Centro,Organico
90,2025-10-09,Norte,Organico
91,2025-12-07,Sur,Pagado
92,2025-11-01,Norte,Organico
93,2025-11-23,Centro,Pagado
94,2025-10-03,Centro,Pagado
95,2025-08-07,Centro,Organico
96,2025-08-07,Norte,Organico
97,2025-11-10,Centro,Referido
98,2025-11-26,Centro,Referido
99,2025-10-05,Centro,Pagado
100,2026-03-09,Centro,Pagado
101,2025-10-09,Sur,Referido
102,2025-09-29,Centro,Organico
103,2025-11-08,Sur,Pagado
104,2026-01-17,Centro,Organico
105,2025-08-26,Sur,Pagado
106,2026-02-18,Centro,Referido
107,2026-03-28,Sur,Organico
108,2025-08-22,Norte,Referido
109,2025-10-27,Norte,Organico
110,2025-09-20,Centro,Organico
111,2025-11-21,Centro,Organico
112,2025-12-13,Centro,Organico
113,2025-09-18,Norte,Organico
114,2025-10-22,Norte,Referido
115,2025-12-08,Centro,Pagado
116,2025-08-04,Centro,Referido
117,2026-02-04,Norte,Pagado
118,2025-08-15,Centro,Pagado
119,2026-03-28,Centro,Pagado
120,2025-12-04,Centro,Pagado
121,2025-11-12,Sur,Pagado
122,2025-08-27,Centro,Referido
123,2025-11-24,Centro,Organico
124,2026-02-23,Centro,Organico
125,2026-01-06,Centro,Organico
126,2025-10-02,Centro,Referido
127,2025-10-31,Centro,Referido
128,2025-12-07,Sur,Organico
129,2025-11-03,Norte,Pagado
130,2025-10-17,Centro,Organico
131,2026-03-05,Sur,Referido
132,2026-03-27,Norte,Pagado
133,2026-01-21,Centro,Organico
134,2026-01-16,Norte,Pagado
135,2025-08-17,Centro,Organico
136,2026-01-21,Centro,Organico
137,2026-01-28,Sur,Pagado
138,2026-03-04,Centro,Organico
139,2026-02-05,Centro,Organico
140,2025-12-06,Centro,Pagado
141,2026-03-17,Centro,Organico
142,2025-10-21,Sur,Pagado
143,2025-10-07,Centro,Pagado
144,2026-01-30,Centro,Pagado
145,2025-11-03,Sur,Referido
146,2025-08-21,Sur,Organico
147,2026-03-20,Centro,Organico
148,2025-09-25,Sur,Organico
149,2025-09-09,Sur,Organico
150,2026-01-11,Centro,Organico
151,2025-11-28,Sur,Organico
152,2025-11-19,Sur,Organico
153,2025-11-22,Centro,Referido
154,2026-02-04,Centro,Organico
155,2025-08-30,Centro,Pagado
156,2026-02-20,Centro,Organico
157,2025-09-26,Sur,Organico
158,2025-09-21,Centro,Referido
159,2026-01-07,Centro,Organico
160,2026-03-13,Centro,Pagado
161,2026-01-07,Centro,Pagado
162,2025-10-24,Norte,Pagado
163,2026-01-28,Norte,Organico
164,2025-11-28,Centro,Organico
165,2026-02-16,Sur,Pagado
166,2025-11-07,Centro,Organico
167,2025-09-19,Sur,Organico
168,2025-09-13,Centro,Pagado
169,2025-10-13,Centro,Pagado
170,2025-10-17,Sur,Pagado
171,2026-02-20,Norte,Organico
172,2026-02-03,Sur,Pagado
173,2025-12-14,Centro,Organico
174,2025-08-20,Centro,Referido
175,2026-01-29,Sur,Organico
176,2026-03-04,Centro,Pagado
177,2025-08-08,Sur,Pagado
178,2025-11-28,Sur,Pagado
179,2025-08-20,Centro,Organico
180,2026-03-26,Norte,Organico
181,2025-10-03,Norte,Organico
182,2025-10-18,Norte,Pagado
183,2026-03-10,Sur,Pagado
184,2025-12-25,Centro,Pagado
185,2026-02-21,Sur,Pagado
186,2025-10-26,Sur,Referido
187,2025-10-28,Sur,Organico
188,2026-02-05,Sur,Pagado
189,2026-01-13,Norte,Pagado
190,2026-02-20,Centro,Organico
191,2026-02-04,Centro,Pagado
192,2025-10-11,Centro,Organico
193,2025-08-26,Centro,Pagado
194,2025-11-19,Centro,Pagado
195,2025-09-14,Norte,Referido
196,2025-12-10,Centro,Pagado
197,2025-10-02,Centro,Pagado
198,2026-02-23,Norte,Organico
199,2026-01-28,Sur,Organico
200,2025-11-26,Centro,Referido
201,2026-01-21,Sur,Organico
202,2025-12-28,Norte,Referido
203,2025-11-05,Centro,Pagado
204,2025-12-30,Centro,Organico
205,2026-02-15,Centro,Pagado
206,2026-03-29,Sur,Pagado
207,2026-03-01,Centro,Pagado
208,2026-03-03,Norte,Referido
209,2025-12-03,Sur,Organico
210,2025-12-29,Centro,Organico
211,2026-01-29,Sur,Organico
212,2025-10-21,Sur,Organico
213,2025-12-12,Centro,Pagado
214,2026-03-11,Sur,Referido
215,2025-09-22,Centro,Pagado
216,2025-11-01,Centro,Pagado
217,2025-10-12,Norte,Referido
218,2025-10-18,Sur,Organico
219,2025-11-17,Centro,Organico
220,2025-11-02,Sur,Pagado
221,2025-10-16,Sur,Pagado
222,2026-03-04,Norte,Pagado
223,2025-10-09,Sur,Pagado
224,2025-08-13,Centro,Pagado
225,2025-08-07,Sur,Organico
226,2026-01-26,Centro,Pagado
227,2025-08-20,Centro,Referido
228,2025-11-28,Centro,Pagado
229,2026-03-20,Centro,Pagado
230,2026-03-24,Centro,Organico
231,2025-10-09,Norte,Referido
232,2025-09-20,Centro,Organico
233,2025-10-03,Norte,Organico
234,2025-10-13,Sur,Referido
235,2026-01-02,Centro,Pagado
236,2026-02-13,Sur,Organico
