order_id,product_id,quantity,unit_price,discount_pct
10001,17,2,639.8,0.05
10001,13,1,781.66,0.1
10002,18,1,230.79,0.05
10003,30,1,320.39,0
10004,13,1,781.66,0
10004,12,1,292.67,0.2
10005,3,1,744.71,0.05
10006,18,1,230.79,0
10006,22,1,180.93,0
10007,22,3,180.93,0
10008,30,1,320.39,0.1
10008,36,1,636.41,0.05
10009,26,1,133.44,0
10009,39,2,559.67,0.05
10010,6,1,1196.57,0.1
10010,2,1,1247.52,0
10011,26,1,133.44,0
10011,37,1,421.81,0.05
10012,3,1,744.71,0
10013,7,2,1487.56,0.1
10013,24,1,108.36,0
10014,3,1,744.71,0
10015,9,1,1250.47,0
10016,12,1,292.67,0.05
10017,36,1,636.41,0
10017,3,2,744.71,0
10018,2,1,1247.52,0
10019,2,1,1247.52,0
10020,34,1,590.58,0
10020,28,2,168.45,0
10021,39,1,559.67,0
10022,20,1,519.58,0
10022,17,1,639.8,0.05
10023,34,1,590.58,0
10024,5,1,1832.85,0.05
10024,4,1,668.78,0
10025,38,1,249.52,0.1
10026,37,2,421.81,0
10026,33,1,628.13,0
10027,36,2,636.41,0
10027,26,1,133.44,0
10028,29,1,313.35,0
10029,10,1,490.4,0
10029,30,1,320.39,0.2
10030,3,1,744.71,0.05
10031,31,2,711.41,0
10032,7,1,1487.56,0.1
10032,39,1,559.67,0.1
10032,14,1,653.36,0
10033,21,1,144.14,0
10033,30,1,320.39,0
10034,18,1,230.79,0.1
10034,11,1,423.21,0.1
10035,39,1,559.67,0.1
10036,13,1,781.66,0
10037,17,1,639.8,0.1
10038,24,2,108.36,0.05
10039,27,1,323.57,0.2
10039,1,1,2003.11,0
10040,23,1,379.72,0
10040,15,1,425.88,0
10041,34,1,590.58,0.1
10042,15,2,425.88,0.05
10042,27,2,323.57,0.05
10042,20,1,519.58,0
10043,11,2,423.21,0
10044,37,1,421.81,0
10044,15,1,425.88,0.05
10045,30,3,320.39,0
10045,6,1,1196.57,0.2
10046,23,1,379.72,0.05
10046,10,1,490.4,0.05
10047,29,1,313.35,0.1
10048,9,1,1250.47,0
10049,26,1,133.44,0
10050,19,1,536.57,0
10051,13,1,781.66,0
10051,37,2,421.81,0.05
10052,39,1,559.67,0
10052,16,1,874.98,0.2
10053,8,2,1334.24,0
10054,28,2,168.45,0.1
10055,10,1,490.4,0.1
10055,13,1,781.66,0.05
10056,13,2,781.66,0
10057,14,1,653.36,0.05
10057,40,1,337.89,0
10058,24,1,108.36,0
10059,8,1,1334.24,0
10060,34,1,590.58,0.1
10061,37,1,421.81,0.2
10062,13,1,781.66,0
10063,37,1,421.81,0
10064,8,1,1334.24,0
10065,36,1,636.41,0
10065,2,1,1247.52,0
10065,18,1,230.79,0
10066,34,2,590.58,0
10066,30,1,320.39,0
10067,26,1,133.44,0.1
10067,20,1,519.58,0
10068,23,1,379.72,0
10069,8,2,1334.24,0
10070,22,1,180.93,0
10071,26,1,133.44,0
10072,6,1,1196.57,0
10073,20,1,519.58,0.1
10074,5,2,1832.85,0.05
10074,1,1,2003.11,0
10075,11,1,423.21,0.1
10076,35,3,318.51,0.05
10077,31,1,711.41,0
10078,1,2,2003.11,0.1
10079,33,1,628.13,0
10079,23,1,379.72,0
10080,31,2,711.41,0.2
10081,3,1,744.71,0
10082,35,1,318.51,0
10083,19,1,536.57,0.1
10084,21,2,144.14,0
10084,23,1,379.72,0
10084,29,1,313.35,0
10085,14,1,653.36,0.1
10086,1,1,2003.11,0.05
10087,9,1,1250.47,0
10087,18,2,230.79,0.2
10087,26,2,133.44,0.1
10088,16,2,874.98,0
10089,3,1,744.71,0.05
10090,9,1,1250.47,0
10090,34,1,590.58,0.05
