product_id,product_name,category,unit_price
1,ELE-01,Electronica,2003.11
2,ELE-02,Electronica,1247.52
3,ELE-03,Electronica,744.71
4,ELE-04,Electronica,668.78
5,ELE-05,Electronica,1832.85
6,ELE-06,Electronica,1196.57
7,ELE-07,Electronica,1487.56
8,ELE-08,Electronica,1334.24
9,ELE-09,Electronica,1250.47
10,ELE-10,Electronica,490.4
11,HOG-01,Hogar,423.21
12,HOG-02,Hogar,292.67
13,HOG-03,Hogar,781.66
14,HOG-04,Hogar,653.36
15,HOG-05,Hogar,425.88
16,HOG-06,Hogar,874.98
17,HOG-07,Hogar,639.8
18,HOG-08,Hogar,230.79
19,HOG-09,Hogar,536.57
20,HOG-10,Hogar,519.58
21,BEL-01,Belleza,144.14
22,BEL-02,Belleza,180.93
23,BEL-03,Belleza,379.72
24,BEL-04,Belleza,108.36
25,BEL-05,Belleza,263.93
26,BEL-06,Belleza,133.44
27,BEL-07,Belleza,323.57
28,BEL-08,Belleza,168.45
29,BEL-09,Belleza,313.35
30,BEL-10,Belleza,320.39
31,DEP-01,Deportes,711.41
32,DEP-02,Deportes,517.32
33,DEP-03,Deportes,628.13
34,DEP-04,Deportes,590.58
35,DEP-05,Deportes,318.51
36,DEP-06,Deportes,636.41
37,DEP-07,Deportes,421.81
38,DEP-08,Deportes,249.52
39,DEP-09,Deportes,559.67
40,DEP-10,Deportes,337.89
